entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,sufiks,indeks_basis,makna_snippet
"selebaran",33802,"-el-","sebaran",81007,"turunan","","sebaran","terbitan tidak berjilid (tidak berkulit) yang disebarkan kepada umum, biasanya untuk mempropagandakan sesuatu | lembaran"
"selebaran",33802,"-el-","sebar",33425,"dasar","-an","sebar","terbitan tidak berjilid (tidak berkulit) yang disebarkan kepada umum, biasanya untuk mempropagandakan sesuatu | lembaran"
"seloyak",33944,"-el-","soyak",36027,"dasar","","soyak","soyak; keloyak; koyak"
"semantan",34028,"-em-","santan",33125,"dasar","","santan","sudah cukup tua, banyak santannya (tentang nyiur)"
"seminar (1)",34154,"-em-","sinar",35389,"dasar","","sinar","bersinar-sinar"
"serabut",34583,"-er-","sabut",32597,"dasar","","sabut","serat-serat seperti pada sabut | barang yang rupanya seperti bulu atau serat | sabut halus | struktur jaringan yang berb"
"serai",34592,"-er-","sa",32546,"dasar","-i","sa","tanaman tahunan, membentuk rumpun yang padat, batangnya kaku dan pendek, bentuk daunnya seperti pita yang meruncing ke u"
"serampuk",34609,"-er-","sampuk",32973,"dasar","","sampuk","sampuk; bentur; antuk"
"serendeng",34714,"-er-","sendeng",34254,"dasar","","sendeng","sendeng; miring sebelah; tinggi sebelah; sedeng | kurang waras otaknya"
"sering (3)",34772,"-er-","sing",35428,"dasar","","sing","ramping; langsing"
"seruling",34858,"-er-","suling",36565,"dasar","","suling","alat musik tiup yang terbuat dari buluh, logam, dsb.; suling"
"sesah",34888,"R.purwa","sah",32659,"dasar","","sah","menyesah"
"sesak",34892,"R.purwa","sak",32719,"dasar","","sak","sempit sekali (tidak lapang; tidak longgar, tidak lega) | penuh berasak-asak (berjejal-jejal) hingga tidak ada tempat te"
"sesal",34893,"R.purwa","sal",32789,"dasar","","sal","perasaan tidak senang (susah, kecewa, dsb.) karena telah berbuat kurang baik (dosa, kesalahan, dsb.)"
"sesap (1)",34897,"R.purwa","sap",33147,"dasar","","sap","isap"
"sesi",34907,"R.purwa","si",35060,"dasar","","si","babak; tahap | sidang"
"tela",37990,"-el-","ta",37015,"dasar","","ta","rumah belakang yang dibangun bersambung dengan istana, menjadi tempat tinggal wanita"
"tela (3)",37993,"-el-","ta",37015,"dasar","","ta","terang; nyata"
"tela (5)",37995,"-el-","ta",37015,"dasar","","ta","jaringan atau membran tipis yang menyerupai sarang laba-laba"
"telatah (1)",38029,"-el-","ta",37015,"dasar","-tah","ta","gerak-gerik; tingkah laku; kelakuan (sikap dsb.) | tanda bukti"
"telau",38033,"-el-","tau",37749,"dasar","","tau","belang yang berwarna lebih muda atau lebih terang pada dasar warna yang tua atau gelap (seperti sinar matahari yang mene"
"tele (1)",38035,"-el-","te",37826,"dasar","","te","bertele-tele"
"tele (2)",38036,"-el-","te",37826,"dasar","","te","bertele-tele"
"telekan",38053,"-el-","te",37826,"dasar","-kan","te","bertelekan"
"telekap",38054,"-el-","tekap",37924,"dasar","","tekap","penutup dsb. yang melingkup; tekap"
"teleku",38060,"-el-","te",37826,"dasar","-ku","te","berteleku"
"tema",38141,"-em-","ta",37015,"dasar","","ta","pokok pikiran; dasar cerita (yang dipercakapkan, dipakai sebagai dasar mengarang, menggubah sajak, dsb.)"
"temabur",38143,"-em-","tabur",37070,"dasar","","tabur","bertaburan (tentang bintang-bintang di langit)"
"tera",38504,"-er-","ta",37015,"dasar","","ta","tanda berupa gambar (huruf, lambang, dsb.) yang dicapkan pada lak, timah, surat penting, atau sarung surat (amplop), bin"
"terang",38529,"-er-","tang",37452,"dasar","","tang","dalam keadaan dapat dilihat (didengar); nyata; jelas | cerah; bersinar | siang hari | bersih (tentang halaman atau kebun"
"teras",38538,"-er-","tas",37677,"dasar","","tas","bidang tanah datar yang miring; bidang tanah yang lebih tinggi daripada yang lain (biasanya ditumbuhi rumput) | tanah at"
"teras (3)",38541,"-er-","tas",37677,"dasar","","tas","bahan yang menjadi tempat melintasnya garis medan magnetik dalam trafo atau transformator dan bersifat temporer | daerah"
"terus (1)",38701,"-er-","tus",39808,"dasar","","tus","lurus menuju ...; langsung pada (arah ke); lantas | tetap berlanjut | tidak berhenti-henti | lanjut | tidak putus-putus;"
"tetak (1)",38726,"R.purwa","tak",37181,"dasar","","tak","menetak"
"tetak (2)",38727,"R.purwa","tak",37181,"dasar","","tak","menetak"
"tetap (2)",38737,"R.purwa","tap",37557,"dasar","","tap","menetap"
"tetar",38740,"R.purwa","tar",37605,"dasar","","tar","menetar"
"tetas",38741,"R.purwa","tas",37677,"dasar","","tas","menetas"
"tetelan",38748,"R.purwa","tel",37989,"dasar","-an","tel","sisa daging yang melekat di tulang (berupa campuran daging, urat, lemak, dsb.) yang telah dikelupas dari tulang dan dipo"
"tetikus",38756,"R.purwa","tikus",38824,"dasar","","tikus","peranti periferal pada komputer yang menyerupai tikus, gunanya, antara lain, untuk mengendalikan kursor"
"tetra",38759,"R.purwa","tra",39260,"dasar","","tra","karbon tetraklorida, cairan berbau busuk, tidak berwarna, tidak larut dalam air, tidak mudah terbakar, dan tidak meledak"
